,id,start,strat,type,SMA,entry,TP,SL,SR,entry_time,outcome,pips,lasttime,bounces,bounces_lasttime
32,AUD_USD 04JAN2007D,2007-01-03 22:00:00,counter_b1,short,N,0.7905,0.77812,0.79904,0.79658,2007-01-04 05:30:00,success,123.8,2002-06-05 21:00:00,6,6
33,AUD_USD 19SEP2008D,2008-09-18 22:00:00,counter_b1,long,N,0.80833,0.85025,0.78001,0.78866,2008-09-19 01:30:00,success,419.2,2007-03-08 22:00:00,2,0
34,AUD_USD 28MAY2012D,2012-05-27 22:00:00,counter_b1,long,N,0.98119,1.00013,0.96865,0.96794,2012-05-27 21:00:00,failure,-125.4,2011-10-04 21:00:00,2,1
35,AUD_USD 08JUL2013H12,2013-07-08 10:00:00,counter_b1,long,N,0.90703,0.91782,0.89982,0.90176,2013-07-08 09:00:00,success,107.9,2010-08-31 21:00:00,11,0
36,AUD_USD 20DEC2013D,2013-12-19 22:00:00,counter_b1,long,N,0.88985,0.90118,0.88249,0.88759,2013-12-20 14:00:00,success,113.3,2010-07-19 21:00:00,8,3
37,AUD_USD 06JAN2015,2015-01-05 22:00:00,counter_b1,long,N,0.81348,0.82946,0.80266,0.80796,2015-01-06 02:30:00,success,159.8,2009-07-14 21:00:00,3,0
38,AUD_USD 30DEC2016D,2016-12-29 22:00:00,counter_b1,long,N,0.72187,0.73364,0.71393,0.71612,2016-12-29 22:00:00,success,117.7,2016-02-02 22:00:00,7,4
39,AUD_USD 03MAY2018D,2018-05-02 22:00:00,counter_b1,long,N,0.75493,0.76559,0.74765,0.75055,2018-05-02 22:00:00,failure,-72.8,2017-06-01 21:00:00,15,4
40,AUD_USD 05SEP2018H12,2018-09-05 22:00:00,counter_b1,long,N,0.71951,0.72667,0.71454,0.71612,2018-09-05 21:00:00,failure,-49.7,2016-02-11 10:00:00,8,5
41,USD_CHF 10SEP2010D,2010-09-09 22:00:00,counter_b1,long,N,1.01725,1.03937,1.00257,1.00417,2010-09-10 01:00:00,failure,-146.8,2008-03-31 21:00:00,5,4
42,USD_CHF 10OCT2011D,2011-10-09 22:00:00,counter_b1,short,Y,0.91523,0.88914,0.93341,0.92848,2011-10-10 08:00:00,success,260.9,2011-02-22 22:00:00,1,1
43,USD_CHF 10JUL2013H12,2013-07-10 10:00:00,counter_b1,short,N,0.96641,0.94714,0.97938,0.97655,2013-07-10 17:00:00,success,192.7,2012-07-26 09:00:00,5,3
44,USD_CHF 25OCT2013D,2013-10-24 22:00:00,counter_b1,long,N,0.89272,0.89861,0.88878,0.89225,2013-10-24 21:00:00,success,58.9,2011-11-03 21:00:00,3,2
45,USD_CHF 22AUG2014D,2014-08-21 22:00:00,counter_b1,short,N,0.91097,0.90487,0.91496,0.91231,2014-08-22 04:00:00,failure,-39.9,2013-11-10 22:00:00,8,2
46,USD_CHF 24NOV2015D,2015-11-23 22:00:00,counter_b1,short,N,1.01637,1.0059,1.02331,1.02082,2015-11-24 13:00:00,failure,-69.4,2010-08-24 21:00:00,3,1
47,USD_CHF 30JUN2017H12,2017-06-30 10:00:00,counter_b1,long,N,0.95902,0.9655,0.95446,0.95444,2017-06-30 09:00:00,success,64.8,2015-08-26 09:00:00,16,5
48,USD_CHF 02FEB2018H12,2018-02-02 10:00:00,counter_b1,long,N,0.9297,0.93706,0.92486,0.92635,2018-02-02 10:00:00,success,73.6,2015-05-14 21:00:00,16,4
49,USD_CHF 01NOV2018H12,2018-11-01 10:00:00,counter_b1,short,N,1.00265,0.99237,1.00969,1.00695,2018-11-01 11:30:00,failure,-70.4,2017-01-11 10:00:00,9,6
50,USD_CHF 14FEB2019H12,2019-02-14 10:00:00,counter_b1,short,N,1.00757,1.0024,1.01102,1.00947,2019-02-14 13:30:00,success,51.7,2017-01-04 22:00:00,11,8
51,USD_CAD 15JAN2007D,2007-01-14 22:00:00,counter_b1,short,N,1.16836,1.1504,1.18037,1.17594,2007-01-15 07:00:00,failure,-120.1,2005-11-20 22:00:00,0,0
52,USD_CAD 16MAY2007H12,2007-05-16 10:00:00,counter_b1,long,N,1.10048,1.10756,1.09569,1.09741,2007-05-16 11:00:00,failure,-47.9,2002-05-20 09:00:00,3,3
53,USD_CAD 16OCT2009D,2009-10-15 22:00:00,counter_b1,long,N,1.03777,1.06448,1.02036,1.03211,2009-10-16 11:00:00,success,267.1,2008-07-27 21:00:00,2,2
54,USD_CAD 29MAY2013H12,2013-05-29 10:00:00,counter_b1,short,N,1.03881,1.03345,1.04236,1.0416,2013-05-29 10:30:00,success,53.6,2011-10-05 09:00:00,11,3
