,id,start,strat,entry,entry_time,outcome,lasttime,bounces,bounces_lasttime
42,USD_CHF 10OCT2011D,2011-10-09 22:00:00,counter_b1,0.91523,2011-10-10 08:00:00,success,2011-02-22 22:00:00,1,1
43,USD_CHF 10JUL2013H12,2013-07-10 10:00:00,counter_b1,0.96641,2013-07-10 17:00:00,success,2012-07-26 09:00:00,5,3
44,USD_CHF 25OCT2013D,2013-10-24 22:00:00,counter_b1,0.89272,2013-10-24 21:00:00,success,2011-11-03 21:00:00,3,2
45,USD_CHF 22AUG2014D,2014-08-21 22:00:00,counter_b1,0.91097,2014-08-22 04:00:00,failure,2013-11-10 22:00:00,8,2
46,USD_CHF 24NOV2015D,2015-11-23 22:00:00,counter_b1,1.01637,2015-11-24 13:00:00,failure,2010-08-24 21:00:00,3,1
47,USD_CHF 30JUN2017H12,2017-06-30 10:00:00,counter_b1,0.95902,2017-06-30 09:00:00,success,2015-08-26 09:00:00,16,5
48,USD_CHF 02FEB2018H12,2018-02-02 10:00:00,counter_b1,0.9297,2018-02-02 10:00:00,success,2015-05-14 21:00:00,16,4
49,USD_CHF 01NOV2018H12,2018-11-01 10:00:00,counter_b1,1.00265,2018-11-01 11:30:00,failure,2017-01-11 10:00:00,9,6
50,USD_CHF 14FEB2019H12,2019-02-14 10:00:00,counter_b1,1.00757,2019-02-14 13:30:00,success,2017-01-04 22:00:00,11,8
51,USD_CAD 15JAN2007D,2007-01-14 22:00:00,counter_b1,1.16836,2007-01-15 07:00:00,failure,2005-11-20 22:00:00,0,0
52,USD_CAD 16MAY2007H12,2007-05-16 10:00:00,counter_b1,1.10048,2007-05-16 11:00:00,failure,2002-05-20 09:00:00,3,3
53,USD_CAD 16OCT2009D,2009-10-15 22:00:00,counter_b1,1.03777,2009-10-16 11:00:00,success,2008-07-27 21:00:00,2,2
54,USD_CAD 29MAY2013H12,2013-05-29 10:00:00,counter_b1,1.03881,2013-05-29 10:30:00,success,2011-10-05 09:00:00,11,3
55,EUR_USD 08OCT2008D,2008-10-07 22:00:00,counter_b1,1.37498,2008-10-08 18:00:00,failure,2007-08-21 21:00:00,1,1
56,EUR_USD 04JUN2009D,2009-06-03 22:00:00,counter_b1,1.41503,2009-06-03 21:30:00,success,2008-09-28 21:00:00,0,0
57,EUR_USD 06APR2016D,2016-04-05 22:00:00,counter_b1,1.1335,2016-04-06 11:00:00,failure,2015-08-25 21:00:00,4,1
58,EUR_USD 28NOV2016D,2016-11-27 22:00:00,counter_b1,1.06315,2016-11-28 00:30:00,failure,2005-12-15 22:00:00,1,1
59,EUR_USD 29MAY2018H12,2018-05-29 21:00:00,counter_b1,1.1592,2018-05-30 07:30:00,success,2017-07-17 09:00:00,1,1
60,GBP_AUD 26JAN2017H12,2007-01-26 10:00:00,counter_b1,2.53349,2007-01-26 10:30:00,failure,2004-12-09 10:00:00,0,0
61,GBP_AUD 09AUG2013D,2013-08-08 22:00:00,counter_b1,1.70404,2013-08-09 01:30:00,failure,2010-08-30 21:00:00,0,0
62,GBP_AUD 06DEC2013D,2013-12-05 22:00:00,counter_b1,1.79818,2013-12-06 15:30:00,failure,2009-11-01 22:00:00,2,2
63,GBP_AUD 18MAR2016D,2016-03-17 22:00:00,counter_b1,1.90206,2016-03-18 13:00:00,failure,2015-01-22 22:00:00,1,1
64,GBP_AUD 29MAR2018D,2018-03-28 22:00:00,counter_b1,1.83538,2018-03-29 05:30:00,success,2016-06-23 21:00:00,7,0
65,GBP_AUD 07MAR2019H12,2019-03-07 10:00:00,counter_b1,1.86771,2019-03-07 10:30:00,success,2016-06-24 09:00:00,2,0
66,GBP_AUD 05JUL2019D,2019-07-04 22:00:00,counter_b1,1.79435,2019-07-05 14:00:00,failure,2019-01-10 22:00:00,6,0
