	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
445	AUD_NZD 04DEC2007D	2007-03-12 23:00:00	short	D	1.15076	1	1	2	1444	5	3	0	21.0	5707.0	2007-01-08 00:00:00	1		FALSE	2.0	3.0	4.5											118.9	30.08		63	271.76190476190476	5.619047619047619	23.80952380952381	A	1.6666666666666667	2	18
446	AUD_NZD 03SEP2007D	2007-08-31 23:00:00	long	D	1.16682	1	3	2,1,5	1080	5	1	0	28.0	7392.0	2006-01-09 00:00:00	1		FALSE	2.0	3.0	4.5											154.0	22.5		599	264.0	5.5	17.857142857142858	A	5.0	8	14
447	AUD_NZD 03APR2008D	2008-03-04 23:00:00	long	D	1.15872	1	0	0	914	4	1	0	6.0	2298.0	2007-01-11 00:00:00	1		FALSE	0.0	3.0	4.5											47.88	19.04		418	383.0	7.833333333333333	66.66666666666667	A	4.0	0	15
448	GBP_CHF 24JUL2006D	2006-07-21 23:00:00	long	D	2.3025599999999997	0	0	0	440	3	2	1	6.0	4037.0	2005-01-06 00:00:00	1	376.0	FALSE	1.0	3.0	4.5											84.1	9.17	7.83	561	672.8333333333334	14.0	50.0	A	1.5	0	23
449	GBP_CHF 01JUL2014D	2014-06-30 23:00:00	long	D	1.51889	1	2	4,3	1148	14	4	0	73.0	7564.0	2012-01-08 00:00:00	1		FALSE	4.0	3.0	4.5											157.58	23.92		904	103.61643835616438	2.1506849315068495	19.17808219178082	A	3.5	7	6
450	GBP_CHF 30SEP2014D	2014-09-29 23:00:00	long	D	1.54698	0	0	0	571	5	3	0	13.0	4392.0	2010-01-11 00:00:00	1		FALSE	1.0	3.0	4.5											91.5	11.9		1722	337.84615384615387	7.0	38.46153846153846	A	1.6666666666666667	0	6
451	GBP_CHF 11FEB2015D	2015-10-02 23:00:00	long	D	1.41811	1	0	0	1040	5	1	0	17.0	14430.0	2013-01-08 00:00:00	1		FALSE	1.0	3.0	4.5											300.62	21.67		997	848.8235294117648	17.647058823529413	29.41176470588235	A	5.0	0	13
452	GBP_CHF 26JAN2016D	2016-01-25 23:00:00	short	D	1.44119	0	5	2,1,2,1,3	3240	7	6	0	37.0	10959.0	2015-01-05 00:00:00	1	1860.0	TRUE	1.0	3.0	4.5											228.31	67.5	38.75	385	296.18918918918916	6.162162162162162	18.91891891891892	A	1.1666666666666667	9	-3
453	GBP_CHF 14MAR2016D	2016-11-03 23:00:00	long	D	1.41813	0	0	0	1800	7	1	0	11.0	3887.0	2016-01-02 00:00:00	1		TRUE	0.0	3.0	4.5											80.98	37.5		306	353.3636363636364	7.2727272727272725	63.63636363636363	A	7.0	0	15
454	EUR_AUD 28MAR2006H12	2006-03-28 22:00:00	long	H12	1.7064700000000002	0	2	4,9	1361	6	1	1	18.0	7814.0	2005-01-01 00:00:00	1		FALSE	1.0	3.0	4.5											162.79	28.35		451	434.1111111111111	9.0	33.333333333333336	A	6.0	13	23
455	EUR_AUD 14AUG2008H12	2008-08-14 21:00:00	long	H12	1.7074599999999998	0	2	2,11	3608	6	1	0	24.0	7107.0	2008-01-04 00:00:00	1		FALSE	1.0	3.0	4.5											148.06	75.17		223	296.125	6.166666666666667	25.0	A	6.0	13	12
456	EUR_AUD 25JAN2011H12	2011-01-25 10:00:00	long	H12	1.37523	0	2	3,1	1321	6	1	0	22.0	7848.0	2010-01-11 00:00:00	1	3195.0	FALSE	2.0	3.0	4.5											163.5	27.52	66.56	379	356.72727272727275	7.409090909090909	27.272727272727273	A	6.0	4	13
457	EUR_AUD 03OCT2011H12	2011-03-10 21:00:00	long	H12	1.38814	1	2	2,1	1372	8	6	0	31.0	8806.0	2011-01-03 00:00:00	1		FALSE	1.0	3.0	4.5											183.46	28.58		66	284.06451612903226	5.903225806451613	25.806451612903224	A	1.3333333333333333	3	5
458	EUR_AUD 20DEC2012H12	2012-12-20 10:00:00	long	H12	1.26378	1	0	0	680	3	1	1	11.0	3071.0	2012-01-10 00:00:00	1		FALSE	2.0	3.0	4.5											63.98	14.17		345	279.1818181818182	5.7272727272727275	27.272727272727273	A	3.0	0	36
459	EUR_AUD 31MAR2014H12	2014-03-31 21:00:00	short	H12	1.48464	1	2	1,7	1100	7	1	0	21.0	5725.0	2013-01-11 00:00:00	1		TRUE	2.0	3.0	4.5											119.27	22.92		444	272.6190476190476	5.666666666666667	33.333333333333336	A	7.0	8	17
460	EUR_AUD 12DEC2014H12	2014-12-12 10:00:00	long	H12	1.50419	1	0	0	1146	4	1	1	28.0	7733.0	2014-01-03 00:00:00	1		FALSE	3.0	3.0	4.5											161.1	23.88		343	276.17857142857144	5.75	14.285714285714286	A	4.0	0	29
461	EUR_AUD 13JAN2015H12	2015-01-13 10:00:00	short	H12	1.44581	0	2	6,1	1301	5	2	1	22.0	5914.0	2014-01-11 00:00:00	1	495.0	FALSE	2.0	3.0	4.5											123.21	27.1	10.31	367	268.8181818181818	5.590909090909091	22.727272727272727	A	2.5	7	36
462	EUR_AUD 08JUN2015H12	2015-08-06 09:00:00	long	H12	1.46319	0	2	1,1	1375	6	1	0	17.0	6416.0	2015-01-02 00:00:00	1	1729.0	FALSE	1.0	3.0	4.5											133.67	28.65	36.02	216	377.4117647058824	7.823529411764706	35.294117647058826	A	6.0	2	10
463	EUR_AUD 28AUG2015H12	2015-08-28 09:00:00	long	H12	1.57863	0	1	6	8700	9	1	0	13.0	7438.0	2009-01-12 00:00:00	1	263.0	TRUE	0.0	3.0	4.5											154.96	181.25	5.48	2419	572.1538461538462	11.846153846153847	69.23076923076923	A	9.0	6	13
464	EUR_AUD 02MAY2017H12	2017-02-05 21:00:00	long	H12	1.45367	1	1	7	1467	12	1	0	22.0	5265.0	2016-01-10 00:00:00	1		FALSE	1.0	3.0	4.5											109.69	30.56		392	239.3181818181818	4.954545454545454	54.54545454545455	A	12.0	7	17
465	EUR_AUD 21JUN2018H12	2018-06-21 21:00:00	long	H12	1.5752700000000002	0	0	0	930	7	5	0	25.0	4590.0	2018-01-05 00:00:00	1		TRUE	1.0	3.0	4.5											95.62	19.38		167	183.6	3.8	28.0	A	1.4	0	6
466	EUR_AUD 01JAN2019H12	2019-01-01 22:00:00	long	H12	1.62796	1	2	4,8	1021	6	1	1	36.0	8480.0	2009-01-10 00:00:00	1		FALSE	2.0	3.0	4.5											176.67	21.27		3643	235.55555555555554	4.888888888888889	16.666666666666668	A	6.0	12	28
467	USD_CAD 10JAN2019H6	2019-10-01 10:00:00	short	H6	1.3218	0	0	0	313	4	4	1	22.0	4178.0	2018-01-12 00:00:00	1	1000.0	FALSE	0.0	3.0	4.5											87.04	6.52	20.83	627	189.9090909090909	3.9545454545454546	18.181818181818183	A	1.0	0	25
468	AUD_USD 14JAN2019H12	2019-01-14 22:00:00	long	H12	0.7209899999999999	0	0	0	450	6	2	0	15.0	2530.0	2018-01-12 00:00:00	1	961.0	FALSE	0.0	3.0	4.5											52.71	9.38	20.02	367	168.66666666666666	3.466666666666667	40.0	A	3.0	0	19
469	GBP_JPY 21JAN2019H8	2019-01-21 16:44:00	long	H8	141.442	1	0	0	1182	7	1	0	36.0	7952.0	2018-01-12 00:00:00	1		FALSE	1.0	3.0	4.5											165.67	24.62		374	220.88888888888889	4.583333333333333	19.444444444444443	A	7.0	0	9
