timeframe,strat,id,start,entry,TP,SL,SR,RR,type,SMA,DIVERGENCE (Y/N),MINIPEAK (Y/N),,,,,,,,,,,
D,counter_b1,EUR_GBP 31MAY2011D,30/05/2011 22:00,0.86891,0.88043,0.86086,0.86413,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 19JUL2011D,18/07/2011 22:00,0.87958,0.89172,0.87013,0.87504,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 22MAY2012H12,22/05/2012 09:00,0.8074,0.80223,0.81076,0.80922,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 08AUG2012D,07/08/2012 22:00,0.79182,0.78316,0.79759,0.796,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 28SEP2012D,27/09/2012 22:00,0.79831,0.80716,0.79251,0.796,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,EUR_GBP 09OCT2012H12,09/10/2012 09:00,0.80656,0.80128,0.81006,0.80922,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 12NOV2012D,11/11/2012 22:00,0.79991,0.80649,0.79544,0.796,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 07JAN2013D,06/01/2013 22:00,0.81421,0.8223,0.8085,0.80912,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 09SEP2013D,08/09/2013 22:00,0.84354,0.85057,0.83904,0.84163,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 10JAN2014D,09/01/2014 22:00,0.82771,0.83474,0.82282,0.82351,1.44,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 25JUN2014D,24/06/2014 22:00,0.8029,0.81322,0.79612,0.79684,1.5,long,N,N,Y,,,,,,,,,,,
D,counter_b1,EUR_GBP 10OCT2014D,09/10/2014 22:00,0.78538,0.77735,0.79065,0.78969,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 02JAN2015D,01/01/2015 22:00,0.77956,0.78752,0.77425,0.77607,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 28MAY2015D,27/05/2015 22:00,0.71207,0.72505,0.70334,0.70561,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 03SEP2015D,02/09/2015 22:00,0.73265,0.71721,0.74326,0.73803,1.46,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 02OCT2015D,01/10/2015 22:00,0.736,0.72389,0.74401,0.73939,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,EUR_GBP 25JAN2016H12,25/01/2016 10:00,0.76078,0.77365,0.75211,0.75753,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 28MAR2016D,27/03/2016 22:00,0.78798,0.77714,0.79513,0.79126,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 17AUG2016D,16/08/2016 22:00,0.86286,0.84366,0.87552,0.87343,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,EUR_GBP 07SEP2016D,06/09/2016 22:00,0.84116,0.85317,0.83318,0.83755,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,EUR_GBP 26SEP2016H12,26/09/2016 21:00,0.86674,0.85748,0.87275,0.8696,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 28OCT2016D,27/10/2016 22:00,0.89807,0.91444,0.88701,0.8909,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 24APR2017D,23/04/2017 22:00,0.83916,0.85343,0.82978,0.83406,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 07JUN2017D,06/06/2017 22:00,0.86976,0.85744,0.87787,0.8749,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 30AUG2017D,29/08/2017 22:00,0.92411,0.91318,0.93139,0.9279,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,EUR_GBP 16NOV2017D,15/11/2017 22:00,0.89466,0.88373,0.90194,0.89789,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 26MAR2018D,25/03/2018 22:00,0.87544,0.88678,0.86779,0.87312,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 23JUL2018D,22/07/2018 22:00,0.89205,0.88576,0.89623,0.89565,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 16AUG2018D,15/08/2018 22:00,0.89415,0.90103,0.88956,0.89313,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 12NOV2018D,11/11/2018 22:00,0.87429,0.88258,0.86872,0.87042,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 17DEC2018D,16/12/2018 22:00,0.90022,0.9065,0.89599,0.89715,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 01JUl2019D,30/06/2019 22:00,0.89415,0.88606,0.89959,0.89715,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_GBP 14AUG2019D,13/08/2019 22:00,0.92398,0.91128,0.93256,0.9279,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 23JAN2006D,23/01/2016 22:00,114.862,113.391,115.843,115.788,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 21MAR2006D,20/03/2006 22:00,116.493,118.053,115.454,115.788,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 05JUN2007D,04/06/2007 22:00,121.542,120.56,122.199,122.004,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,USD_JPY 31JUL2007D,30/07/2007 22:00,119.318,121.162,118.07,118.666,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,USD_JPY 13NOV2007H12,13/11/2007 10:00,110.53,112.763,109.041,109.407,1.5,long,N,N,Y,,,,,,,,,,,
H12,counter_b1,USD_JPY 11MAR2008H12,11/03/2008 09:00,102.369,103.845,101.396,101.948,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,CAD_JPY 24APR2007D,23/04/2007 22:00,105.293,n.a.,106.04,105.967,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 24NOV2008D,21/11/2008 22:00,75.574,n.a.,70.854,72.059,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 07AUG2009D,06/08/2009 22:00,87.884,n.a.,89.9,88.596,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 20JUL2010D,19/07/2010 22:00,82.967,n.a.,81.509,81.721,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 21OCT2010D,20/10/2010 22:00,79.547,n.a.,78.347,78.701,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 18MAR2013D,15/03/2013 22:00,92.908,n.a.,94.686,94.129,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 15FEB2016D,12/02/2016 22:00,82.291,n.a.,79.143,80.46,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 08AUG2016D,05/08/2016 22:00,77.904,n.a.,76.52,76.861,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 06JAN2017D,05/01/2017 22:00,87.194,n.a.,89.006,88.447,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,CAD_JPY 04JUN2019D,03/06/2019 22:00,80.507,n.a.,79.898,79.996,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 06FEB2008D,05/02/2008 22:00,2.19724,n.a.,2.16596,2.17349,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 30MAR2009D,27/03/2009 22:00,2.09334,n.a.,2.04176,2.04615,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 13JAN2010D,12/01/2010 22:00,1.76271,n.a.,1.72405,1.73338,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 05MAY2011D,04/05/2011 22:00,1.5384,n.a.,1.51053,1.51688,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 03SEP2013D,02/09/2013 22:00,1.72271,n.a.,1.74874,1.74615,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 10SEP2015D,09/09/2015 22:00,2.17766,n.a.,2.2368,2.1938,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 17JUL2017D,16/07/2017 22:00,1.62032,n.a.,1.58265,1.59992,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 29MAR2018D,28/03/2018 22:00,1.83438,n.a.,1.85389,1.84042,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,GBP_AUD 10APR2018D,09/04/2018 22:00,1.83068,n.a.,1.85161,1.84042,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 12SEP2018D,11/09/2018 22:00,1.82576,n.a.,1.84074,1.83697,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,GBP_AUD 19SEP2018D,18/09/2018 22:00,1.8193,n.a.,1.84112,1.83697,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_AUD 29JAN2019D,28/01/2019 22:00,1.83242,n.a.,1.85304,1.8403,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,GBP_AUD 25FEB2019D,22/02/2019 22:00,1.82243,n.a.,1.84615,1.8403,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_CHF 04OCT2007D,03/10/2007 22:00,1.6612,n.a.,1.66966,1.66575,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_CHF 07MAY2008D,06/05/2008 22:00,1.62481,n.a.,1.63548,1.63272,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,EUR_CHF 20MAY2008D,19/05/2008 22:00,1.62598,n.a.,1.63956,1.63272,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_CHF 08AUG2008D,07/08/2008 22:00,1.62528,n.a.,1.63982,1.63272,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_CHF 16JAN2009D,15/01/2009 22:00,1.48316,n.a.,1.46506,1.47634,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_CHF 19FEB2009D,18/02/2009 22:00,1.48444,n.a.,1.46627,1.47634,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_CHF 29JAN2010D,28/01/2010 22:00,1.47455,n.a.,1.46709,1.46994,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,EUR_CHF 04SEP2015D,03/09/2015 22:00,1.08153,n.a.,1.09688,1.0928,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 04JAN2007D,03/01/2007 22:00,0.7037,n.a.,0.71071,0.70793,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 08NOV2007D,07/11/2007 22:00,0.77344,n.a.,0.78997,0.77761,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 10DEC2007D,07/12/2007 22:00,0.7731,n.a.,0.78865,0.77761,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16JUN2008D,13/06/2008 22:00,0.75353,n.a.,0.73828,0.74539,1.5,long,Y,N,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 24NOV2008D,21/11/2008 22:00,0.53722,n.a.,0.51786,0.52336,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 07APR2009D,06/04/2009 22:00,0.5847,n.a.,0.60427,0.59643,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 30JUL2009D,29/07/2009 22:00,0.64831,n.a.,0.66459,0.65954,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 19APR2011D,18/04/2011 22:00,0.78428,n.a.,0.80051,0.79618,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 02JUN2011D,01/06/2011 22:00,0.81253,n.a.,0.82708,0.82049,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 25MAY2012D,24/05/2012 22:00,0.75846,n.a.,0.74505,0.75041,1.5,long,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 04JUN2012 22:00,01/06/2012 22:00,0.75846,n.a.,0.74505,0.75041,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 06FEB2013D,05/02/2013 22:00,0.84104,n.a.,0.84933,0.84663,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 22OCT2013D,21/10/2013 22:00,0.84349,n.a.,0.85363,0.84986,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 30JUN2014D,27/06/2014 22:00,0.87522,n.a.,0.88076,0.87895,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 02OCT2014D,01/10/2014 22:00,0.78678,n.a.,0.77034,0.77543,1.5,long,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 07AUG2015D,06/08/2015 22:00,0.65654,n.a.,0.6479,0.6515,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 06JUL2016D,05/07/2016 22:00,0.71356,n.a.,0.72992,0.72536,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 18JUL2017D,17/07/2017 22:00,0.72955,n.a.,0.73783,0.73415,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 02NOV2017D,01/11/2017 22:00,0.69299,n.a.,0.68117,0.6858,1.5,long,N,N,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 25JAN2018D,24/01/2018 22:00,0.73321,n.a.,0.74495,0.73654,1.5,short,N,Y,N,,,,,,,,,,,
D,counter_b1,NZD_USD 19FEB2018D,16/02/2018 22:00,0.73604,n.a.,0.74434,0.73654,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16APR2018D,13/04/2018 22:00,0.73382,n.a.,0.73973,0.73654,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 17AUG2018D,16/08/2018 22:00,0.66164,n.a.,0.65426,0.65842,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 20NOV2018D,19/11/2018 22:00,0.68097,n.a.,0.68912,0.68389,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,AUD_USD 04JAN2007D,03/01/2007 22:00,0.79043,n.a.,0.79822,0.79698,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,AUD_USD 17MAR2008D,14/03/2008 22:00,0.93416,n.a.,0.94961,0.94767,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,AUD_USD 25APR2008D,24/04/2008 22:00,0.93757,n.a.,0.95474,0.94767,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,AUD_USD 28AUG2008D,27/08/2008 22:00,0.86367,n.a.,0.8486,0.85822,1.5,long,N,N,Y,,,,,,,,,,,
D,counter_b1,AUD_USD 19SEP2008D,18/09/2008 22:00,0.8098,n.a.,0.78148,0.79698,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,AUD_USD 24NOV2008D,21/11/2008 22:00,0.63319,n.a.,0.59853,0.60309,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,AUD_USD 26OCT2009D,23/10/2009 22:00,0.91815,n.a.,0.93471,0.93375,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,AUD_USD 12NOV2009D,11/11/2009 22:00,0.92643,n.a.,0.93615,0.93375,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,AUD_USD 18JAN2010D,15/01/2010 22:00,0.92111,n.a.,0.94063,0.93375,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,AUD_USD 07OCT2014D,06/10/2014 22:00,0.87922,n.a.,0.86416,0.8689,1.5,long,N,N,N,,,,,,,,,,,
D,counter_b1,AUD_USD 01FEB2018D,31/01/2018 22:00,0.80389,n.a.,0.81355,0.81013,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,AUD_USD 22JUN2018D,21/06/2018 22:00,0.74105,n.a.,0.7336,0.73475,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 25MAY2007D,24/05/2007 22:00,121.48,n.a.,122.233,121.882,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,USD_JPY 04SEP2009D,03/09/2009 22:00,92.844,n.a.,91.615,92.332,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 03DEC2009D,02/12/2009 22:00,87.661,n.a.,84.824,86.824,1.5,long,N,n.a.,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 05MAY2010 ,04/05/2010 22:00,94.288,n.a.,95.1,94.435,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 23JUL2010D,22/07/2010 22:00,87.316,n.a.,86.221,86.691,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 22MAY2012D,21/05/2012 22:00,79.454,n.a.,78.856,78.932,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 06NOV2012D,05/11/2012 22:00,80.109,n.a.,80.712,80.377,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 13FEB2013D,12/02/2013 22:00,92.954,n.a.,94.525,94.507,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 11MAR2015D,10/03/2015 22:00,120.906,n.a.,122.039,121.501,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 04MAY2016D,03/05/2016 22:00,106.821,n.a.,105.221,105.589,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 26AUG2016D,25/08/2016 22:00,101.193,n.a.,99.452,100.1,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 19FEB2018D,16/02/2018 22:00,106.441,n.a.,105.493,105.589,1.5,long,N,N,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 06MAR2018,05/03/2018 22:00,106.308,n.a.,105.199,105.589,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 23MAY2018D,22/05/2018 22:00,110.806,n.a.,111.42,111.029,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,USD_JPY 04JUL2018D,03/07/2018 22:00,110.491,n.a.,111.415,111.029,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_JPY 05OCT2018D,04/10/2018 22:00,113.609,n.a.,114.577,114.315,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,USD_JPY 13NOV2018D,12/11/2018 22:00,113.645,n.a.,114.613,114.315,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 04APR2007D,03/04/2007 22:00,1.97224,n.a.,1.98418,1.98098,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 12MAR2009D,11/03/2009 22:00,1.39079,n.a.,1.34903,1.37791,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 15JUN2009D,12/06/2009 22:00,1.63289,n.a.,1.66612,1.65678,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 11MAR2010D,10/03/2010 22:00,1.50222,n.a.,1.47844,1.49601,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 12OCT2010D,11/10/2010 22:00,1.58305,n.a.,1.60328,1.59381,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 03MAY2011D,02/05/2011 22:00,1.66156,n.a.,1.67523,1.66848,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,GBP_USD 06JUN2012D,05/06/2012 22:00,1.54192,n.a.,1.5263,1.53304,1.5,long,N,N,N,,,,,,,,,,,
D,counter_b1,GBP_USD 19SEP2012D,18/09/2012 22:00,1.62194,n.a.,1.63073,1.62587,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,GBP_USD 20DEC2012D,19/12/2012 22:00,1.62408,n.a.,1.63166,1.62587,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 03JAN2013D,02/01/2013 22:00,1.62408,n.a.,1.6358,1.62681,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 09JUL2013D,08/07/2013 22:00,1.49696,n.a.,1.48286,1.48789,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 22AUG2013D,21/08/2013 22:00,1.56322,n.a.,1.57632,1.57174,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 18FEB2014D,17/02/2014 22:00,1.6696,n.a.,1.68294,1.6736,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 10MAR2014D,07/03/2014 22:00,1.66925,n.a.,1.68259,1.6736,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 18JUN2014D,17/06/2014 22:00,1.694,n.a.,1.70174,1.69884,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 24DEC2015D,23/12/2015 22:00,1.49091,n.a.,1.48039,1.48424,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 01NOV2018D,31/10/2018 22:00,1.28354,n.a.,1.26568,1.26995,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,GBP_USD 24MAY2019D,23/05/2019 22:00,1.2693,n.a.,1.25978,1.26798,1.5,long,N,N,N,,,,,,,,,,,
D,counter_b1,USD_CAD 11JAN2007D,10/01/2007 22:00,1.17167,n.a.,1.17961,1.17452,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,USD_CAD 15JAN2008D,14/01/2008 22:00,1.01432,n.a.,1.02507,1.0205,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 08SEP2008D,05/09/2008 22:00,1.06006,n.a.,1.07873,1.07059,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 24NOV2008D,21/11/2008 22:00,1.27306,n.a.,1.30397,1.29646,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 04MAR2009D,03/03/2009 22:00,1.27961,n.a.,1.30218,1.29646,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 29JUL2009D,28/07/2009 22:00,1.09056,n.a.,1.07292,1.07833,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 16OCT2009D,15/10/2009 22:00,1.03787,n.a.,1.0196,1.02951,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,USD_CAD 12JAN2010D,11/01/2010 22:00,1.03972,n.a.,1.02488,1.02951,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 29JUL2011D,28/07/2011 22:00,0.95281,n.a.,0.94071,0.94515,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 29MAY2012D,28/05/2012 22:00,1.02237,n.a.,1.03126,1.02755,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,USD_CAD 20DEC2013D,19/12/2013 22:00,1.06608,n.a.,1.07333,1.06838,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 18MAR2015D,17/03/2015 22:00,1.26262,n.a.,1.28529,1.27825,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 10JUL2015D,09/07/2015 22:00,1.2658,n.a.,1.28486,1.27825,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 03DEC2015D,02/12/2015 22:00,1.33031,n.a.,1.34688,1.34034,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,USD_CAD 14APR2016D,13/04/2016 22:00,1.28324,n.a.,1.27323,1.27825,1.5,long,Y,Y,Y,,,,,,,,,,,
D,counter_b1,USD_CAD 02AUG2017D,01/08/2017 22:00,1.25825,n.a.,1.24145,1.25011,1.5,long,N,N,N,,,,,,,,,,,
D,counter_b1,USD_CAD 03NOV2017D,02/11/2017 22:00,1.27994,n.a.,1.29208,1.2845,1.5,short,Y,N,Y,,,,,,,,,,,
D,counter_b1,NZD_JPY 12APR2007D,11/04/2007 22:00,86.507,n.a.,87.341,86.952,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 12MAY2009D,11/05/2009 22:00,58.307,n.a.,60.598,59.024,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 05MAY2010D,04/05/2010 22:00,67.834,n.a.,69.494,68.679,1.5,short,N,Y,N,,,,,,,,,,,
D,counter_b1,NZD_JPY 27SEP2011D,27/09/2011 22:00,60.056,n.a.,58.247,59.079,1.5,long,N,N,Y,,,,,,,,,,,
D,counter_b1,NZD_JPY 05MAR2012D,02/03/2012 22:00,67.32,n.a.,68.453,67.911,1.5,short,N,N,Y,,,,,,,,,,,
D,counter_b1,NZD_JPY 13MAR2013D,13/03/2013 22:00,78.663,n.a.,80.086,79.746,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 10MAR2014D,07/03/2014 22:00,87.097,n.a.,88.069,87.756,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 16JUL2014D,15/07/2014 22:00,89.008,n.a.,89.963,89.612,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 02JAN2015D,31/12/2014 22:00,93.119,n.a.,94.157,93.749,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 24JUN2015D,23/06/2015 22:00,85.135,n.a.,84.462,84.768,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 20JUL2015D,17/07/2015 22:00,81.368,n.a.,80.43,80.648,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 31JAN2017D,30/01/2017 22:00,82.679,n.a.,83.822,83.434,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_JPY 28JUL2017D,27/07/2017 22:00,83.01,n.a.,83.966,83.555,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
