	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
313	EUR_USD 29DEC2006D	2006-12-29 21:01:00	long	D	1.31756	0	1	10	2775	25	5	0	53.0	6793.0	2005-01-03 00:00:00	1	1765.0	FALSE	1.0	2.0	3.0	0.0			35.0						True	141.52	57.81	36.77	725	128.16981132075472	2.660377358490566	47.16981132075472	A	5.0	10	8
321	EUR_USD 23DEC2008D	2008-12-23 23:00:00	long	D	1.39723	1	1	4	7800	6	1	0	13.0	9329.0	2008-01-09 00:00:00	1		TRUE	0.0	2.0	3.0	1.0			8.0						True	194.35	162.5		349	717.6153846153846	14.923076923076923	46.15384615384615	A	6.0	4	17
325	EUR_USD 15MAY2018D	2018-05-15 23:00:00	short	D	1.19129	1	2	4,2	973	7	3	1	18.0	4650.0	2017-01-12 00:00:00	1		FALSE	0.0	2.0	3.0				14.0	4.0	2.0	17	70.0		True	96.88	20.27		488	258.3333333333333	5.333333333333333	38.888888888888886	A	2.3333333333333335	6	33
326	EUR_USD 11FEB2010D	2010-11-02 23:00:00	short	D	1.36775	1	4	2,4,3,4	1822	6	1	0	50.0	13920.0	2009-01-05 00:00:00	1		FALSE	1.0	2.0	3.0	0.0			46.0						False	290.0	37.96		666	278.4	5.8	12.0	A	6.0	13	15
333	EUR_JPY 22JAN2015D	2015-01-21 23:00:00	short	D	135.957	1	1	10	1866	6	1	1	15.0	10813.0	2013-01-11 00:00:00	1		FALSE	0.0	2.0	3.0											225.27	38.88		740	720.8666666666667	15.0	40.0	A	6.0	10	26
336	EUR_JPY 08MAR2012D	2012-07-03 23:00:00	long	D	106.766	1	1	8	3570	11	1	0	36.0	9410.0	2011-01-09 00:00:00	1		FALSE	2.0	2.0	3.0											196.04	74.38		541	261.3888888888889	5.444444444444445	30.555555555555557	A	11.0	8	9
338	EUR_JPY 06DEC2013D	2013-05-12 23:00:00	long	D	139.619	1	0	0	700	7	4	1	19.0	7581.0	2008-01-10 00:00:00	1		FALSE	1.0	2.0	3.0											157.94	14.58		1949	399.0	8.263157894736842	36.8421052631579	A	1.75	0	18
340	EUR_GBP 9MAR2010D	2010-09-03 23:00:00	long	D	0.9013700000000001	0	1	1	1118	7	1	0	11.0	3786.0	2009-01-10 00:00:00	1		FALSE	1.0	2.0	3.0	1.0			8.0						True	78.88	23.29		601	344.1818181818182	7.090909090909091	63.63636363636363	A	7.0	1	7
342	EUR_GBP 24MAR2011D	2011-03-24 23:00:00	long	D	0.86859	1	0	0	955	9	2	0	26.0	3445.0	2010-01-11 00:00:00	1		FALSE	1.0	2.0	3.0	0.0			24.0						True	71.77	19.9		437	132.5	2.730769230769231	34.61538461538461	A	4.5	0	14
343	EUR_GBP 18JAN2012D	2012-01-18 23:00:00	long	D	0.83204	1	0	0	1033	6	1	0	5.0	701.0	2011-01-12 00:00:00	1		FALSE	0.0	2.0	3.0	0.0			5.0						True	14.6	21.52		371	140.2	2.8	120.0	A	6.0	0	21
346	EUR_GBP 12MAR2007	2007-12-03 23:00:00	long	D	0.6793100000000001	1	1	2	574	7	3	0	33.0	2673.0	2006-01-08 00:00:00	1		FALSE	2.0	2.0	3.0	1.0			30.0						False	55.69	11.96		694	81.0	1.6666666666666667	21.21212121212121	A	2.3333333333333335	2	7
348	EUR_GBP 06OCT2010D	2010-06-10 23:00:00	long	D	0.87156	1	2	3,1	751	5	1	1	19.0	5024.0	2010-01-04 00:00:00	1		FALSE	2.0	2.0	3.0	0.0			17.0						True	104.67	15.65		157	264.42105263157896	5.473684210526316	26.31578947368421	A	5.0	4	46
360	EUR_AUD 15NOV2007D	2007-11-15 23:00:00	long	D	1.63717	1	1	1	3070	4	1	0	10.0	8371.0	2007-01-03 00:00:00	1		FALSE	0.0	2.0	3.0	0.0			8.0						True	174.4	63.96		316	837.1	17.4	40.0	A	4.0	1	1
369	AUD_USD 31MAY2010D	2010-05-31 23:00:00	short	D	0.838	0	2	7,1	3715	8	1	0	18.0	8444.0	2009-01-07 00:00:00	1		TRUE	2.0	2.0	3.0				15.0					84,-50,82	True	175.92	77.4		509	469.1111111111111	9.722222222222221	44.44444444444444	A	8.0	8	16
373	AUD_USD 29APR2016D	2016-04-29 21:00:00	long	D	0.76415	0	4	1,1,1,1	2279	14	7	0	74.0	7844.0	2014-01-12 00:00:00	1		TRUE	1.0	2.0	3.0	0.0			68.0						False	163.42	47.48		838	106.0	2.2027027027027026	18.91891891891892	A	2.0	4	6
376	AUD_USD 26JUL2012D	2012-07-26 23:00:00	long	D	1.03326	1	0	0	1790	9	3	0	38.0	6412.0	2012-01-03 00:00:00	1		FALSE	1.0	2.0	3.0	0.0			34.0						True	133.58	37.29		205	168.73684210526315	3.5	23.68421052631579	A	3.0	0	11
377	AUD_USD 26AUG2010D	2010-08-26 23:00:00	long	D	0.89102	1	0	0	3756	25	4	0	56.0	7855.0	2010-01-05 00:00:00	1		FALSE	1.0	2.0	3.0				45.0					76,-73,77,55	False	163.65	78.25		233	140.26785714285714	2.9107142857142856	44.642857142857146	A	6.25	0	15
378	AUD_USD 25SEP2014D	2014-09-25 23:00:00	short	D	0.8836299999999999	1	3	4,2,4	686	4	1	1	13.0	5260.0	2010-01-07 00:00:00	1		FALSE	1.0	2.0	3.0	0.0			12.0						True	109.58	14.29		1722	404.61538461538464	8.384615384615385	30.76923076923077	A	4.0	10	20
