	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
41	USD_CAD 19OCT2009H12	2009-10-19 10:00:00	short	H12	1.02911	0	1	4	1970	11	4	0	21.0	5476.0	2008-01-07 00:00:00	0		FALSE	1.0	4.0	6.0				23.0	5.0	2.0	22	58.0		False	114.08	41.04		651	260.76190476190476	5.428571428571429	52.38095238095238	A	2.75	4	0
44	USD_CAD 17OCT2008H12	2008-10-17 09:00:00	long	H12	1.1868100000000001	0	3	3,1,11	1760	5	1	0	28.0	15375.0	2005-01-08 00:00:00	0		TRUE		4.0	6.0											320.31	36.67		1378	549.1071428571429	11.428571428571429	17.857142857142858	A	5.0	15	-5
46	USD_CAD 16OCT2014H12	2014-10-16 09:00:00	long	H12	1.13057	0	4	1,2,2,8	1106	5	1	0	138.0	6821.0	2011-01-01 00:00:00	0	958.0	TRUE	3.0	4.0	6.0											142.1	23.04	19.96	1384	49.427536231884055	1.0289855072463767	3.6231884057971016	A	5.0	13	-10
47	USD_CAD 16MAR2010H12	2010-03-16 09:00:00	short	H12	1.01627	0	1	2	395	5	1	1	50.0	5885.0	2008-01-07 00:00:00	0	750.0	FALSE	0.0	4.0	6.0				51.0	2.0	2.0	24	47.0		True	122.6	8.23	15.62	799	117.7	2.44	10.0	A	5.0	2	14
48	USD_CAD 13OCT2011H12	2011-10-13 09:00:00	long	H12	1.02366	0	2	6,5	4696	30	1	0	37.0	4607.0	2010-01-09 00:00:00	0		TRUE	1.0	4.0	6.0											95.98	97.83		642	124.51351351351352	2.5675675675675675	81.08108108108108	A	30.0	11	-10
51	USD_CAD 11AUG2017H12	2017-11-08 10:00:00	short	H12	1.2699799999999999	1	6	20,1,16,1,1,4	3100	40	4	0	140.0	11067.0	2015-01-07 00:00:00	0		FALSE	4.0	4.0	6.0				121.0	23.0	3.0	72,17	44.0		True	230.56	64.58		1036	79.05	1.6428571428571428	28.571428571428573	A	10.0	43	-6
52	USD_CAD 09MAR2016H12	2016-09-03 10:00:00	short	H12	1.33445	1	1	1	1630	7	6	0	71.0	14150.0	2015-01-11 00:00:00	0		FALSE	3.0	4.0	6.0				68.0	10.0	3.0	20,51	53.0		False	294.79	33.96		601	199.29577464788733	4.140845070422535	9.859154929577464	A	1.1666666666666667	1	-1
53	USD_CAD 07MAR2018H12	2018-07-03 10:00:00	long	H12	1.29627	0	5	5,2,1,1,1	1270	8	3	0	47.0	6924.0	2017-01-06 00:00:00	0	370.0	TRUE	1.0	4.0	6.0				49.0	2.0	4.0	14,12,19	50.0		False	144.25	26.46	7.71	543	147.31914893617022	3.0638297872340425	17.02127659574468	A	2.6666666666666665	10	-9
54	USD_CAD 07JUL2011H12	2011-07-07 10:00:00	short	H12	0.96395	0	0	0	880	11	2	0	13.0	2411.0	2011-01-05 00:00:00	0	700.0	FALSE	0.0	4.0	6.0				16.0		2.0	16	39.0		True	50.23	18.33	14.58	183	185.46153846153845	3.8461538461538463	84.61538461538461	A	5.5	0	0
58	NZD_USD 18OCT2018H12	2018-10-18 10:00:00	long	H12	0.65681	0	0	0	430	6	1	0	10.0	1221.0	2018-01-10 00:00:00	0	684.0	TRUE	1.0	4.0	6.0											25.44	8.96	14.25	281	122.1	2.5	60.0	A	6.0	0	-10
61	NZD_JPY 29NOV2018H12	2018-11-29 22:00:00	long	H12	77.87	1	2	4	453	4	1	0	48.0	5421.0	2018-01-06 00:00:00	0		FALSE	2.0	4.0	6.0											112.94	9.44		327	112.9375	2.3333333333333335	8.333333333333334	A	4.0	4	0
64	NZD_JPY 08042008H12	2008-08-04 10:00:00	long	H12	81.762	0	0	0	700	4	4	0	10.0	3506.0	2008-01-03 00:00:00	0		FALSE	1.0	4.0	6.0				11.0						False	73.04	14.58		214	350.6	7.3	40.0	A	1.0	0	-7
65	NZD_JPY 06DEC2011H12	2011-06-12 22:00:00	long	H12	60.757	0	0	0	733	10	2	0	16.0	3507.0	2011-01-11 00:00:00	0		FALSE	1.0	4.0	6.0				7.0						False	73.06	15.27		152	219.1875	4.5625	62.5	A	5.0	0	-3
66	NZD_JPY 05NOV2017H12	2017-05-11 22:00:00	short	H12	78.722	0	4	4,4,1,1	395	17	8	0	63.0	3985.0	2017-01-05 00:00:00	0	260.0	FALSE	1.0	4.0	6.0				58.0						False	83.02	8.23	5.42	126	63.25396825396825	1.3174603174603174	26.984126984126984	A	2.125	10	-3
67	NZD_JPY 05JUL2012H12	2012-05-07 10:00:00	long	H12	64.321	0	1	1	560	9	2	0	47.0	5789.0	2012-01-05 00:00:00	0		FALSE	1.0	4.0	6.0				43.0						False	120.6	11.67		123	123.17021276595744	2.5531914893617023	19.148936170212767	A	4.5	1	-4
68	NZD_JPY 04JUN2009H12	2009-04-06 10:00:00	long	H12	61.504	0	2	1,2	2500	10	2	0	53.0	8086.0	2008-01-10 00:00:00	0		TRUE	4.0	4.0	6.0				50.0						False	168.46	52.08		452	152.56603773584905	3.169811320754717	18.867924528301888	A	5.0	3	-12
69	GBP_USD 28JUL2011H12	2011-07-28 10:00:00	long	H12	1.63811	0	1	1	1260	6	5	0	23.0	5442.0	2011-01-05 00:00:00	0	1700.0	FALSE	2.0	4.0	6.0				25.0	4.0	3.0	17,9	59.0		False	113.38	26.25	35.42	204	236.6086956521739	4.913043478260869	26.08695652173913	A	1.2	1	0
70	GBP_USD 25JUN2013H12	2013-06-25 10:00:00	long	H12	1.54614	0	3	2,4,3	3875	28	1	0	38.0	4417.0	2013-01-02 00:00:00	0		TRUE	3.0	4.0	6.0				39.0	15.0	2.0	36	38.0		True	92.02	80.73		174	116.23684210526316	2.4210526315789473	73.6842105263158	A	28.0	9	-10
71	GBP_USD 23SEP2013H12	2013-09-23 10:00:00	long	H12	1.6048799999999999	0	4	9,3,4,1	1660	7	3	0	107.0	11948.0	2013-01-01 00:00:00	0	280.0	TRUE	3.0	4.0	6.0				108.0	5.0	3.0	24,10	33.0		False	248.92	34.58	5.83	265	111.66355140186916	2.317757009345794	6.542056074766355	A	2.3333333333333335	17	-4
72	GBP_USD 23FEB2010H12	2010-02-23 10:00:00	short	H12	1.54092	1	2	1,5	1360	6	2	0	49.0	9820.0	2009-01-05 00:00:00	0		TRUE	1.0	4.0	6.0				48.0	5.0	2.0	9	40.0		False	204.58	28.33		414	200.40816326530611	4.163265306122449	12.244897959183673	A	3.0	6	-1
73	GBP_USD 22MAY2009H12	2009-05-22 10:00:00	long	H12	1.58897	1	1	2	1	5	1	1	104.0	22418.0	2008-01-11 00:00:00	0		FALSE	1.0	4.0	6.0				104.0	4.0	2.0	5	37.0		False	467.04	0.02		497	215.55769230769232	4.490384615384615	4.8076923076923075	A	5.0	2	12
74	GBP_USD 13JAN2012H12	2012-01-13 10:00:00	short	H12	1.53067	0	2	3,1	1150	5	3	0	108.0	8209.0	2010-01-07 00:00:00	0		TRUE	1.0	4.0	6.0				110.0	70.0	3.0	5,11	38.0		False	171.02	23.96		736	76.00925925925925	1.5833333333333333	4.62962962962963	A	1.6666666666666667	4	-15
75	GBP_USD 12SEP2014H12	2014-12-09 10:00:00	short	H12	1.6208	0	11	11,1,2,2,4,2,5,7,1,9,1	2140	10	2	0	86.0	9342.0	2013-01-11 00:00:00	0	2300.0	FALSE	3.0	4.0	6.0				88.0	5.0	2.0	18	55.0		True	194.62	44.58	47.92	697	108.62790697674419	2.255813953488372	11.627906976744185	A	5.0	45	-8
76	GBP_USD 11SEP2012H12	2012-11-09 10:00:00	long	H12	1.60327	1	2	1,1	440	5	1	1	55.0	5347.0	2012-01-05 00:00:00	0		FALSE	5.0	4.0	6.0				83.0	4.0	2.0	7	39.0		True	111.4	9.17		309	97.21818181818182	2.018181818181818	9.090909090909092	A	5.0	2	9
77	GBP_USD 04JUL2013H12	2013-04-07 10:00:00	short	H12	1.52265	1	2	1,1	1400	9	3	1	25.0	4950.0	2013-01-05 00:00:00	0		FALSE	1.0	4.0	6.0				23.0	4.0	3.0	12,5	60.0		True	103.12	29.17		92	198.0	4.12	36.0	A	3.0	2	6
80	GBP_JPY 27JAN2008H12	2008-01-27 22:00:00	short	H12	210.952	1	4	2,6,1,7	6100	21	2	0	42.0	16595.0	2006-01-05 00:00:00	0		FALSE	2.0	4.0	6.0				35.0						False	345.73	127.08		752	395.1190476190476	8.214285714285714	50.0	A	10.5	16	-4
