	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
0	EUR_GBP 06MAR2019D	2019-05-03 23:00:00	short	D	0.8558899999999999	1	1	2.0	835	7	1	0	13.0	2413.0	2017-01-05 00:00:00	1		False	1	5.0	5.0											50.27	17.4		848	185.6153846153846	3.8461538461538463	53.84615384615385	U	7.0	2.0	16
1	GBP_NZD 06MAR2019D	2019-05-03 23:00:00	long	D	1.9433599999999998	1	0	0	1838	6	1	0	12.0	7019.0	2018-01-10 00:00:00	1		False	1	5.0	9.0											146.23	38.29		478	584.9166666666666	12.166666666666666	50.0	A	6.0	0.0	24
