	timeframe	id 1st peak	start 1st peak	entry 1st peak	S/L 1st peak	outcome 1st peak	retraced 1st peak	last time 1st peak	Candle +1 against trade 1st peak	RSI bounces 1st peak	RSI 1st peak	No of candles 1st peak	bounce length 1st peak	indecission 1st peak	divergence 1st peak	entry on RSI 1st peak	length of trend 1st peak	length in pips	bounces 1st peak	id 2nd peak	start 2nd peak	entry 2nd peak	S/L 2nd peak	outcome 2nd peak	retraced 2nd peak	RSI 2nd peak	divergence 2nd peak	valley	differential	diff	pips_ratio	rsi_inarea_1st	sum_bounces	score
80	D	NZD_USD 26OCT2009D	2009-10-23 23:00:00	0.74773		1		2008-01-07 00:00:00	0	10	71	3.0	1,1,3,2,1,2,3,2,1,2	2	0	0	163	25817	1	NZD_USD 20NOV2009D	19/11/2009 23:00	0.72807		1		58	0	19	-1053	655.0	158.38650306748465	1	18	4
81	D	NZD_USD 17MAY2018D	2018-05-16 23:00:00	0.69181		1		2016-01-06 00:00:00	1	3	23	6.0	1,3,2	1	0	1	21	4348	9	NZD_USD 22JUN2018	21/06/2018 23:00	0.68892		0		32	0	25	221	861.0	207.04761904761904	1	6	2
82	H8	AUD_USD 19DEC2013H8	2013-12-19 22:00:00	0.8865299999999999	0.8817200000000001	1		2010-01-07 00:00:00	0	8	25	2.0	3,1,2,2,1,6,5,1	2	0	0	125	7823	8	AUD_USD 30DEC2013H8	30/12/2013 06:00	0.88731	0.8825	1		36	0	15	-78	1442.0	62.584	1	21	4
83	H6	EUR_AUD 28JUL2011H8	2011-07-28 15:00:00	1.30054	1.29189	1		2003-01-01 00:00:00	0	1	23	1.0	7	1	0	0	6	2540	3	EUR_AUD 01AUG2011H6	01/08/2011 21:00	1.30054	1.29189	1		27	0	16	-88	3130.0	423.3333333333333	1	7	1
84	H6	EUR_AUD 08AUG2016H8	2016-08-08 21:00:00	1.44974	1.45947	0	104.0	2015-01-06 00:00:00	0	2	25	2.0	1,1	1	0	0	18	3144	8	EUR_AUD 10AUG2016H6	10/08/2016 15:00	1.44858	1.44176	1		34	0	6	206	580.0	174.66666666666666	1	2	2
85	H6	EUR_AUD 05MAY2017H6	2017-05-05 15:00:00	1.48086	1.49153	0		2016-01-09 00:00:00	0	4	77	22.0	1,12,2,4	2	0	1	57	8153	1	EUR_AUD 09MAY2017H6	09/05/2017 09:00	1.4821	1.48917	1		60	0	6	-372	482.0	143.03508771929825	1	19	3
86	H6	EUR_AUD 15NOV2017H6	2017-11-15 16:00:00	1.55531	1.56159	0	1588.0	2016-01-02 00:00:00	0	1	85	8.0	1	1	0	1	17	4617	3	EUR_AUD 17NOV2017H6	17/11/2017 16:00	1.5595299999999999	1.5658100000000001	1		74	1	7	487	683.0	271.5882352941176	1	1	1
87	H6	EUR_AUD 19OCT2016H6	2016-10-19 21:00:00	1.42664	1.41816	1		2015-01-05 00:00:00	0	2	21	1.0	3,4	1	0	0	25	4596	1	EUR_AUD 25OCT2016H6	25/10/2016 21:00	1.42575	1.41781	0	520.0	30	1	14	633	653.0	183.84	1	7	1
88	H6	EUR_AUD 16APR2015H6	2015-04-16 21:00:00	1.38455	1.37017	0	187.0	2013-01-06 00:00:00	0	2	28	2.0	1,7	1	1	0	29	5426	2	EUR_AUD 29APR2015H6	29/04/2015 03:00	1.37437	1.36766	1		33	1	32	282	830.0	187.10344827586206	1	8	2
89	H6	EUR_AUD 19DEC2013H6	2013-12-12 04:00:00	1.54342	1.5588899999999999	0	74.0	2010-01-02 00:00:00	0	7	67	5.0	1,4,2,1,3	5	1	0	82	11153	1	EUR_AUD 30DEC2013H6	30/12/2013 16:00	1.54882	1.55995	1		68	0	24	-285	1440.0	136.0121951219512	0	11	3
