	timeframe	id 1st peak	start 1st peak	entry 1st peak	S/L 1st peak	outcome 1st peak	retraced 1st peak	last time 1st peak	Candle +1 against trade 1st peak	RSI bounces 1st peak	RSI 1st peak	No of candles 1st peak	bounce length 1st peak	indecission 1st peak	divergence 1st peak	entry on RSI 1st peak	length of trend 1st peak	length in pips	bounces 1st peak	id 2nd peak	start 2nd peak	entry 2nd peak	S/L 2nd peak	outcome 2nd peak	retraced 2nd peak	RSI 2nd peak	divergence 2nd peak	valley	differential	diff	pips_ratio	rsi_inarea_1st	sum_bounces	score
10	H12	EUR_GBP 17SEP2012H12	2012-09-17 10:00:00	0.80708		1		2012-01-04 00:00:00	0	2	75	1.0	4,1	1	0	0	77	2988	4	EUR_GBP 09OCT2012H12	09/10/2012 10:00:00	0.80628		0	671.0	69	0	31	-136	257.0	38.8051948051948	1	5	1
11	H12	GBP_USD 03APR2007H12	2007-03-04 10:00:00	1.9769599999999998		1		2003-01-01 00:00:00	0	1	69	18.0	1	1	1	0	27	5593	3	GBP_USD 11APR2007H12	11/04/2007 22:00:00	1.97375		0		60	0	11	0	1523.0	207.14814814814815	0	1	1
12	H12	GBP_USD 04AUG2010H12	2010-04-08 09:00:00	1.5889		0	140.0	2010-01-01 00:00:00	0	0	78	0.0	0	3	0	1	103	15850	2	GBP_USD 09AUG2010H12	09/08/2010 22:00:00	1.59348		1		69	1	5	240	97.0	153.88349514563106	1	0	2
13	H12	GBP_USD 21FEB2011H12	2011-02-21 10:00:00	1.6214899999999999		1		2009-01-12 00:00:00	1	1	63	49.0	1	2	1	0	76	8506	5	GBP_USD 23FEB2011H12	23/02/2011 22:00:00	1.61705		0	635.0	59	1	4	164	770.0	111.92105263157895	0	1	2
14	H12	AUD_USD 11SEP2008H12	2008-11-09 22:00:00	0.8077		0	830.0	2007-01-03 00:00:00	0	8	27	2.0	2,1,3,1,1,2,24,2	1	1	0	74	17045	1	AUD_USD 16SEP2008H12	16/09/2008 22:00:00	0.80457		1		33	1	5	460	676.0	230.33783783783784	1	36	3
15	H12	EUR_USD 13DEC2013H12	2013-12-13 10:00:00	1.37376		0	800.0	2011-01-10 00:00:00	1	1	77	3.0	7	7	0	0	50	3797	5	EUR_USD 01JAN2014H12	1/1/2014 22:00:00	1.3759700000000001		1		61	1	24	154	1068.0	75.94	1	7	2
16	D	EUR_USD 03JUL2017D	2017-03-07 23:00:00	1.13811		0		2015-01-01 00:00:00	0	4	69	2.0	1,2,2,1	1	0	0	131	9634	2	EUR_USD 13JUL2017D	13/07/2017 23:00:00	1.13811		0		66	1	6	261	796.0	73.54198473282443	0	6	2
17	H12	GBP_USD 23SEP2011H12	2011-09-23 10:00:00	1.5466799999999998		1	525.0	2010-01-07 00:00:00	1	7	17	1.0	5,4,1,6,2,1,1	1	0	1	45	11033	6	GBP_USD 04OCT2011H12	04/10/2011 22:00:00	1.54938		0	675.0	34	0	14	-110	624.0	245.17777777777778	1	20	4
18	H12	GBP_USD 01OCT2013H12	2013-01-10 22:00:00	1.61873		1		2011-01-08 00:00:00	1	5	72	2.0	3,11,2,6,1	2	1	0	120	13309	7	GBP_USD 23OCT2013H12	23/10/2013 10:00:00			1		62	0	27	0	733.0	110.90833333333333	1	23	5
19	H12	EUR_USD 02FEB2018H12	2018-02-02 10:00:00	1.24829		1		2014-01-10 00:00:00	1	8	70	11.0	1,2,1,6,2,6,2,1	1	1	0	121	9124	4	EUR_USD 16FEB2018H12	16/02/2018 10:00	1.2491700000000001		1		68	0	19	245	1484.0	75.40495867768595	1	21	4
20	H12	EUR_USD 29MAY2018H12	2018-05-29 22:00:00	1.15949		1		2017-01-07 00:00:00	0	11	24	1.0	3,1,1,2,1,1,10,6,3,1,2	1	1	0	57	7884	2	EUR_USD 21JUN2018H12	21/06/2018 22:00:00	1.15993		1		36	0	32	52	507.0	138.31578947368422	1	31	3
21	H12	NZD_JPY 03JUN2009H12	2009-03-06 10:00:00	62.138999999999996		1			0	7	74	2.0	2,2,1,2,2,3,5	3	0	0	175	17871	2	NZD_JPY 14JUN2009H12	14/06/2009 22:00:00	62.409		1		64	1	14	1		102.12	1	17	4
22	D	AUD_USD 12MAR2015D	2015-11-03 23:00:00	0.76495		1		2009-01-04 00:00:00	0	11	29	1.0	1,2,6,2,3,17,1,5,3,1,2	1	1	0	132	17400	1	AUD_USD 08APR2015D	07Apr2015 23:00	0.7656		1		42	0	16	200	2494.0	131.8181818181818	1	43	4
23	H12	AUD_USD 11JAN2013H12	2013-11-01 10:00:00	1.05623		1		2012-01-03 00:00:00	0	0	22	0.0	0	1	0	0	18	1974	4	AUD_USD 11JAN2013H12	11/01/2013 10:00	1.05592		1		69	0	32	134	668.0	109.66666666666667	1	0	1
24	H12	EUR_GBP 05MAY2011H12	2011-05-05 09:00:00	0.8978200000000001		1		2009-01-10 00:00:00	0	6	72	1.0	1,2,1,1,1,1	2	0	0	107	6180	3	AUD_USD 03JUL2011H12	03/07/2011 21:00	0.90146		1		74	0	81	414	845.0	57.757009345794394	1	7	3
25	H12	EUR_GBP 01OCT2014H12	2014-01-10 22:00:00	0.7801		1		2008-01-03 00:00:00	0	7	29	45.0	2,5,1,1,1,1,1	3	0	0	28	2548	6	EUR_GBP 03NOV2014H12	03/11/2014 22:00	0.78258		1		34	0	45	-310	2199.0	91.0	1	12	4
26	H12	EUR_GBP 19APR2017H12	2017-04-19 22:00:00	0.8388899999999999		1		2016-01-06 00:00:00	0	1	22	2.0	2	1	0	0	55	3962	7	EUR_GBP 10MAY2017H12	10/05/2017 21:00	0.84095		1		38	0	29	-674	469.0	72.03636363636363	1	2	2
27	H12	GBP_USD 25JAN2018H12	2018-01-25 10:00:00	1.42099		1		2016-01-06 00:00:00	0	4	82	1.0	7,6,3,3	1	0	0	52	8894	1	GBP_USD 02FEB2018H12	02/02/2018 10:00	1.42099		1		67	0	9	-676	750.0	171.03846153846155	1	19	3
28	H12	EUR_USD 23DEC2009H12	2009-12-23 10:00:00	1.4281		1		2009-01-08 00:00:00	0	3	26	1.0	2,4,2	1	1	0	28	8409	3	EUR_USD 08JAN2010H12	08/01/2010 10:00	1.4335799999999999		1		40	0	22	-492	349.0	300.32142857142856	1	8	2
29	H12	EUR_USD 17OCT2010H12	2010-10-17 21:00:00	1.3925100000000001		0	1190.0	2010-01-19 00:00:00	0	6	72	1.0	2,9,6,1,3,1	1	1	0	50	13675	2	EUR_USD 04NOV2010H12	04/11/2010 21:00	1.41901		1		65	1	27	1259	271.0	273.5	1	22	3
30	H12	EUR_USD 22MAR2011H12	2011-03-22 21:00:00	1.41844		1		2008-01-08 00:00:00	1	2	70	2.0	1,1	2	0	0	52	7753	2	EUR_USD 31MAR2011H12	31/03/2011 21:00	1.41573		0		57	0	14	180	1169.0	149.09615384615384	1	2	1
